question,ground_truth,generated_answer,faithfulness,answer_relevancy,context_precision,context_recall,groundedness,hallucination_score,latency
Under what conditions might IFC take on a mandated advisory role to directly design and facilitate an investment transaction?,IFC may play a mandated advisory role to directly design a transaction and facilitate a successful investment in the same transaction.,"Based on the document, IFC may play a mandated advisory role to directly design a transaction and facilitate a successful investment as part of its ""Advisory and upstream"" activities.

The programs for this type of transaction-related advisory and upstream work include:
*   Public-Private Partnership (PPP) Mobilization
*   Asset Monetization
*   Mergers & Acquisitions and Pre-Initial Public Offering Advisory Mobilization
*   Upstream Collaboration and Co-Developments Mobilization",1.0,1.0,0.25,1.0,1.0,0.0,16.021655082702637
What is one of the documented components of IFC's Investment Portfolio Management process?,"Site Visits are one of the components of IFC's Investment Portfolio Management, as shown in Figure 9.","Based on the document, one of the following is a component of IFC's Investment Portfolio Management process:

*   Regional investment teams regularly review the regional industry portfolio with Senior Management and Risk.
*   Quarterly reviews of IFC’s portfolio results are presented to the Board.
*   IFC's investment and portfolio teams complement global reviews with asset-by-asset quarterly assessments for investments.",1.0,1.0,0.7,0.0,1.0,0.0,15.055831670761108
How many Long-Term Finance (LTF) projects were supported by IFC's Own Account investments in FY24?,IFC's Own Account investments supported 365 LTF projects in FY24.,Own Account investments supported 365 LTF projects in FY24.,1.0,1.0,0.2,1.0,1.0,0.0,9.41672396659851
"What was the variance in value for ""Equity investments"" under Long-Term Finance Own Account Commitments between the fiscal years 2023 and 2024?",The variance in Equity investments under Long-Term Finance Own Account Commitments between FY23 and FY24 was $(39) million.,I could not find the answer in the document.,1.0,0.0,0.2,0.0,1.0,0.0,15.399780750274658
"What percentage of IFC's Total Disbursed Investment Portfolio did ""Equity investments"" account for in 2023?","In 2023, Equity investments represented 20% of the Total Disbursed Investment Portfolio.",20%,1.0,1.0,0.4,1.0,1.0,0.0,10.95540714263916
"What was the total disbursed investment portfolio for the Africa region as of June 30, 2024?","The disbursed investment portfolio for Africa as of June 30, 2024, was $12.1 billion.","Based on the context provided, the total disbursed investment portfolio for the Africa region as of June 30, 2024, was $12,080 million.",1.0,1.0,0.6,1.0,1.0,0.0,15.15703296661377
"Which industry sector within IFC's portfolio had disbursed investments amounting to $2,332 million in 2024?","The ""Transportation and Warehousing"" sector had disbursed investments of $2,332 million in 2024.",I could not find the answer in the document.,1.0,0.0,0.0,0.0,1.0,0.0,12.59756588935852
What was the carrying value of IFC's total loan portfolio as of the end of June 2024?,"The carrying value of IFC's loan portfolio as of June 30, 2024, was $36,437 million.","Based on the provided context, the carrying value of IFC's loan portfolio as of June 30, 2024, was $36,437 million (or $36.4 billion).",1.0,1.0,0.5,1.0,1.0,0.0,15.872468948364258
"What was the predominant currency in IFC's disbursed loan portfolio as of June 30, 2024, and what was its value?","The U.S. dollar was the largest currency component of the disbursed loan portfolio as of June 30, 2024, at $25.2 billion.","As of June 30, 2024, the predominant currency in IFC's disbursed loan portfolio was the U.S. dollar, with a value of $25,222 million (or $25.2 billion).",1.0,1.0,0.9,1.0,1.0,0.0,15.262532949447632
What was the main reason for the change in the carrying value of IFC's equity investment portfolio from June 2023 to June 2024?,"The increase in the carrying value of IFC's equity investment portfolio as of June 30, 2024, was mainly due to net purchases (purchases net of sales).","According to the document, the increase in the carrying value of IFC's equity investment portfolio ""was mainly due to net purchases (purchases net of sales).""",1.0,1.0,0.5,1.0,1.0,0.0,12.81383204460144
"How many global investors had pledged funds to the Managed Co-Lending Portfolio Program (MCPP) by June 30, 2024, and what was their total pledged amount?","As of June 30, 2024, seventeen global investors had pledged $16.2 billion to the MCPP.","As of June 30, 2024, seventeen global investors have pledged $16.2 billion to the MCPP.",1.0,1.0,0.4,1.0,1.0,0.0,11.4654221534729
"What is IFC's reported ownership interest in the ""IFC Financial Institutions Growth Fund, LP""?","IFC's ownership interest in the ""IFC Financial Institutions Growth Fund, LP"" was 30%.","Based on the provided context, IFC's ownership interest in the ""IFC Financial Institutions Growth Fund, LP"" is 30%.",1.0,1.0,0.6,1.0,1.0,0.0,12.31279993057251
"What amount of funds did IFC contribute since inception to the ""IFC Global Infrastructure Fund, LP""?","The total funds raised since inception from IFC for the ""IFC Global Infrastructure Fund, LP"" were $200 million.",I could not find the answer in the document.,1.0,0.0,0.5,0.0,1.0,0.0,13.06235694885254
"What was the reported Income available for designation in FY24, and what textual explanation is provided for any updates to its calculation in that year?","In FY24, the Income available for designation was $1,558 million. The calculation was updated in FY24 to exclude income from the Post-retirement Contribution Reserve Fund (PCRF).","Based on the document provided:

The Income Available for Designations in FY24 was **$1,558 million**.

The textual explanation for the update to its calculation is: ""In FY24, IFC updated the calculation of Income Available for Designations to exclude income from Post-retirement Contribution Reserve Fund (PCRF), aligning it with its intended use for post-retirement contributions. This change, approved by the Board in June 2024, is effective from FY24.""",1.0,1.0,0.75,1.0,1.0,0.0,16.126140117645264
"What was IFC's outstanding borrowing amount as of June 30, 2024, and what primary reason is textually cited for its change from the previous year?","As of June 30, 2024, borrowings outstanding were $55.8 billion. This was an increase from June 30, 2023, mainly due to net new issuances of $3.7 billion.","Based on the context provided, as of June 30, 2024, IFC's total outstanding borrowings were $55,755 million (or $55.8 billion).

The primary reason cited for the increase was that it was ""mainly driven by new issuances due to robust loan disbursements, partially offset by maturities and repayments"" and also ""mainly due to net new issuances of $3.7 billion.""",1.0,1.0,0.85,1.0,1.0,0.0,15.691683053970335
"What is the core mission of the International Finance Corporation, and what are its main types of investment products?","IFC's mission is to end extreme poverty and boost shared prosperity on a livable planet. Its principal investment products are loans, equity investments, debt securities, and guarantees.","Based on the document provided, the core mission of the International Finance Corporation (IFC) is to ""further economic development in its member countries by encouraging the growth of private enterprise.""

Its main types of investment products are loans, equity investments, and investments in debt securities.",1.0,1.0,0.5,0.4,1.0,0.0,13.822354078292848
"How does IFC define ""Capital Available"" for the purpose of its Capital Utilization Ratio calculations?","Capital Available refers to resources available to absorb potential losses, calculated as IFC's balance sheet capital minus designated retained earnings, minus the pension surplus of each pension plan, minus PCRF assets.","According to the document, ""Capital Available"" is defined as: ""Resources available to absorb potential losses, calculated as: IFC’s balance sheets capital minus designated retained earnings minus pension surplus of each pension plan minus PCRF assets.""",1.0,1.0,0.8,1.0,1.0,0.0,13.108458995819092
"Following the commitment and disbursement stages in IFC's Investment Project Cycle, what supervisory actions does IFC undertake as described in its Client Services section?","After commitment and disbursement, as indicated by the ""Project Management"" stage in Figure 8, IFC supervises its investments by closely monitoring project performance and ensuring compliance with contractual obligations and its internal policies and procedures.","Based on the document provided, IFC supervises its investments by closely monitoring project performance and ensuring compliance with contractual obligations and IFC’s internal policies and procedures.",1.0,1.0,0.5,0.8,1.0,0.0,12.491168975830078
"What were IFC's ""Total Long-Term Finance Own Account Commitments"" in FY24, and what was the corresponding ""Total disbursed investment portfolio"" for the Africa region as of June 30, 2024, based on investment portfolio details?","Total Long-Term Finance Own Account Commitments in FY24 were $16,677 million. The total disbursed investment portfolio for Africa as of June 30, 2024, was $12,080 million.",I could not find the answer in the document.,1.0,0.0,0.5,0.5,1.0,0.0,17.370957136154175
"What was IFC's Net Income for FY24, and what were the main drivers identified in the Executive Summary for its increase from FY23?","IFC's Net Income for FY24 was $1,485 million (or $1.5 billion). The increase compared to FY23 was mainly driven by higher treasury income and strong net interest income on loans and debt securities in FY24.","Based on the provided context, IFC’s net income was $1.5 billion in FY24. The increase in net income was mainly driven by ""higher treasury income and strong net interest income on loans and debt securities in FY24.""",1.0,1.0,0.4,1.0,1.0,0.0,20.12180495262146
